Vendor,GRAPHTEC Corporation
Model,"GL240"
Version,"Ver1.51"
MaxChannel,10
GSStartCH,10
WLStartCH,0
MaxLogicChannel,0
Logic/Pulse,Off,Off
TempUnit,C
Sampling interval,100ms
Total Data Points,18274     
Trigger,0         
Start time,2021-03-22,13:45:32
End time,2021-03-22,14:16:00
Trigger time,2021-03-22,13:45:32
AMP settings
CH,SignalName,Amp,Input,Range,Temperature Range,Filter,SpanUpper,SpanLower,Unit,Color,,,Line,Scaling settings,Input Upper,Input Lower,Output Upper,Output Lower,Unit
CH1," CH 1",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,28,5,6,0
CH2," CH 2",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,0,13,23,0
CH3," CH 3",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,9,22,8,0
CH4," CH 4",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,21,0,21,0
CH5," CH 5",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,28,16,2,0
CH6," CH 6",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,5,23,30,0
CH7," CH 7",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,30,23,1,0
CH8," CH 8",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,28,0,17,0
CH9," CH 9",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,17,11,7,0
CH10," CH10",M,TEMP,TC_K,2000degC,Off,+500.0,+0.0,degC,19,27,0,0
CH,Input,Slope,Filter,Span,,Unit,Color,,,Line
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1-10,AlarmOut
NO.,Time,ms,"degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","A1234567890","AO1234/WLAO12345"
1,2021-03-22 13:45:32,0,+13.7,+13.5,+13.6,+13.9,+13.7,+13.6,+13.4,+13.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
2,2021-03-22 13:45:32,100,+13.6,+13.5,+13.6,+14.0,+13.6,+13.6,+13.2,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
3,2021-03-22 13:45:32,200,+13.6,+13.5,+13.6,+14.0,+13.6,+13.7,+13.3,+13.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
4,2021-03-22 13:45:32,300,+13.7,+13.5,+13.6,+14.0,+13.6,+13.7,+13.2,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
5,2021-03-22 13:45:32,400,+13.7,+13.5,+13.6,+14.1,+13.6,+13.7,+13.2,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
6,2021-03-22 13:45:32,500,+13.6,+13.4,+13.6,+14.0,+13.7,+13.7,+13.1,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
7,2021-03-22 13:45:32,600,+13.7,+13.5,+13.6,+14.1,+13.6,+13.8,+13.2,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
8,2021-03-22 13:45:32,700,+13.7,+13.5,+13.6,+14.0,+13.6,+13.7,+13.3,+13.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
9,2021-03-22 13:45:32,800,+13.7,+13.5,+13.6,+14.0,+13.6,+13.8,+13.3,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
10,2021-03-22 13:45:32,900,+13.7,+13.5,+13.6,+14.1,+13.6,+13.7,+13.2,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
11,2021-03-22 13:45:33,0,+13.7,+13.5,+13.6,+14.0,+13.7,+13.6,+13.2,+13.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
12,2021-03-22 13:45:33,100,+13.6,+13.5,+13.6,+14.0,+13.6,+13.6,+13.1,+13.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLLLLLLL
