Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.51  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Off,Off
TempUnit,C
Sampling interval,500ms
Total data points,2909      
Trigger,0         
Start time,2021-03-24,16:15:42
End time,2021-03-24,16:39:56
Trigger time,2021-03-24,16:15:42
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,5,6,0
CH2," CH 2","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],9,22,8,0
CH4," CH 4","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],21,0,21,0
CH5," CH 5","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,16,2,0
CH6," CH 6","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],5,23,30,0
CH7," CH 7","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],30,23,1,0
CH8," CH 8","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,0,17,0
CH9," CH 9","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],17,11,7,0
CH10," CH10","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],19,27,0,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1-10,AlarmOut
NO.,Time,ms,"degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","A1234567890","AO1234"
         1,2021/03/24 16:15:42,  0,+  16.6,+  16.3,+  16.7,+  17.7,+  23.1,+  47.3,+  35.4,+  43.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         2,2021/03/24 16:15:42,500,+  16.3,+  16.1,+  16.6,+  17.4,+  23.0,+  46.8,+  35.7,+  43.7,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         3,2021/03/24 16:15:43,  0,+  16.2,+  16.1,+  16.5,+  17.1,+  23.1,+  47.2,+  36.0,+  44.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         4,2021/03/24 16:15:43,500,+  16.3,+  16.1,+  16.5,+  17.2,+  23.3,+  47.1,+  36.3,+  44.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         5,2021/03/24 16:15:44,  0,+  16.1,+  16.0,+  16.6,+  17.2,+  23.3,+  47.1,+  36.7,+  45.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         6,2021/03/24 16:15:44,500,+  16.2,+  16.1,+  16.4,+  17.2,+  23.3,+  47.3,+  37.2,+  45.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         7,2021/03/24 16:15:45,  0,+  16.1,+  15.9,+  16.4,+  17.1,+  23.4,+  47.2,+  37.4,+  46.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         8,2021/03/24 16:15:45,500,+  16.1,+  16.0,+  16.5,+  17.1,+  23.6,+  47.6,+  37.7,+  46.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
         9,2021/03/24 16:15:46,  0,+  16.1,+  15.8,+  16.4,+  17.2,+  23.6,+  47.9,+  38.0,+  46.9,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
