Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.51  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Off,Off
TempUnit,C
Sampling interval,500ms
Total data points,10482     
Trigger,0         
Start time,2021-03-30,16:38:30
End time,2021-03-30,18:05:50
Trigger time,2021-03-30,16:38:30
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],28,5,6,0
CH2," CH 2","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],9,22,8,0
CH4," CH 4","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],21,0,21,0
CH5," CH 5","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],28,16,2,0
CH6," CH 6","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],5,23,30,0
CH7," CH 7","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],30,23,1,0
CH8," CH 8","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],28,0,17,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm1-10,AlarmOut
NO.,Time,ms,"degC","degC","degC","degC","degC","degC","degC","degC","A1234567890","AO1234"
         1,2021/03/30 16:38:30,  0,+  15.4,+  15.4,+  15.4,+  15.6,+  16.4,+  15.8,BURNOUT,+  16.5,LLLLLLLLLL,LLLL
         2,2021/03/30 16:38:30,500,+  15.4,+  15.4,+  15.4,+  15.6,+  16.4,+  15.8,BURNOUT,+  16.6,LLLLLLLLLL,LLLL
         3,2021/03/30 16:38:31,  0,+  15.4,+  15.4,+  15.5,+  15.6,+  16.4,+  15.8,BURNOUT,+  16.5,LLLLLLLLLL,LLLL
         4,2021/03/30 16:38:31,500,+  15.4,+  15.4,+  15.4,+  15.6,+  16.4,+  15.8,BURNOUT,+  16.5,LLLLLLLLLL,LLLL
         5,2021/03/30 16:38:32,  0,+  15.3,+  15.4,+  15.4,+  15.6,+  16.4,+  15.8,BURNOUT,+  16.5,LLLLLLLLLL,LLLL
         6,2021/03/30 16:38:32,500,+  15.4,+  15.4,+  15.4,+  15.6,+  16.4,+  15.8,BURNOUT,+  16.5,LLLLLLLLLL,LLLL
         7,2021/03/30 16:38:33,  0,+  15.4,+  15.4,+  15.4,+  15.6,+  16.4,+  15.8,BURNOUT,+  16.5,LLLLLLLLLL,LLLL
         8,2021/03/30 16:38:33,500,+  15.4,+  15.4,+  15.5,+  15.6,+  16.4,+  15.8,BURNOUT,+  16.4,LLLLLLLLLL,LLLL
         9,2021/03/30 16:38:34,  0,+  15.4,+  15.4,+  15.4,+  15.6,+  16.4,+  15.8,BURNOUT,+  16.6,LLLLLLLLLL,LLLL
        10,2021/03/30 16:38:34,500,+  15.4,+  15.4,+  15.4,+  15.6,+  16.4,+  15.8,BURNOUT,+  16.5,LLLLLLLLLL,LLLL
        11,2021/03/30 16:38:35,  0,+  15.4,+  15.4,+  15.5,+  15.6,+  16.4,+  15.8,BURNOUT,+  16.6,LLLLLLLLLL,LLLL
        12,2021/03/30 16:38:35,500,+  15.4,+  15.4,+  15.4,+  15.6,+  16.4,+  15.8,BURNOUT,+  16.6,LLLLLLLLLL,LLLL
        13,2021/03/30 16:38:36,  0,+  15.4,+  15.4,+  15.5,+  15.6,+  16.4,+  15.8,BURNOUT,+  16.6,LLLLLLLLLL,LLLL
        14,2021/03/30 16:38:36,500,+  15.4,+  15.4,+  15.5,+  15.6,+  16.4,+  15.8,BURNOUT,+  16.6,LLLLLLLLLL,LLLL
        15,2021/03/30 16:38:37,  0,+  15.4,+  15.4,+  15.4,+  15.6,+  16.4,+  15.8,BURNOUT,+  16.5,LLLLLLLLLL,LLLL
        16,2021/03/30 16:38:37,500,+  15.4,+  15.4,+  15.5,+  15.6,+  16.4,+  15.8,BURNOUT,+  16.6,LLLLLLLLLL,LLLL
        17,2021/03/30 16:38:38,  0,+  15.4,+  15.4,+  15.4,+  15.6,+  16.4,+  15.8,BURNOUT,+  16.5,LLLLLLLLLL,LLLL
        18,2021/03/30 16:38:38,500,+  15.4,+  15.4,+  15.5,+  15.6,+  16.4,+  15.8,BURNOUT,+  16.5,LLLLLLLLLL,LLLL
        19,2021/03/30 16:38:39,  0,+  15.4,+  15.4,+  15.4,+  15.6,+  16.4,+  15.8,BURNOUT,+  16.5,LLLLLLLLLL,LLLL
        20,2021/03/30 16:38:39,500,+  15.4,+  15.5,+  15.2,+  15.2,+  17.1,+  15.8,BURNOUT,+  17.9,LLLLLLLLLL,LLLL
        21,2021/03/30 16:38:40,  0,+  14.6,+  15.1,+  14.9,+  15.6,+  18.5,+  16.5,BURNOUT,+  19.4,LLLLLLLLLL,LLLL
        22,2021/03/30 16:38:40,500,+  14.6,+  15.0,+  14.9,+  15.5,+  19.5,+  17.1,BURNOUT,+  20.3,LLLLLLLLLL,LLLL
        23,2021/03/30 16:38:41,  0,+  14.5,+  15.0,+  14.8,+  15.6,+  20.3,+  17.9,BURNOUT,+  21.4,LLLLLLLLLL,LLLL
        24,2021/03/30 16:38:41,500,+  14.5,+  15.0,+  14.8,+  15.4,+  21.1,+  18.4,BURNOUT,+  22.2,LLLLLLLLLL,LLLL
        25,2021/03/30 16:38:42,  0,+  14.6,+  15.0,+  14.8,+  15.5,+  22.0,+  19.1,BURNOUT,+  23.1,LLLLLLLLLL,LLLL
        26,2021/03/30 16:38:42,500,+  14.6,+  15.1,+  15.0,+  15.6,+  22.6,+  19.8,BURNOUT,+  23.8,LLLLLLLLLL,LLLL
        27,2021/03/30 16:38:43,  0,+  14.7,+  15.1,+  14.9,+  15.6,+  23.4,+  20.5,BURNOUT,+  24.4,LLLLLLLLLL,LLLL
        28,2021/03/30 16:38:43,500,+  14.6,+  15.1,+  14.9,+  15.6,+  23.9,+  21.2,BURNOUT,+  25.1,LLLLLLLLLL,LLLL
        29,2021/03/30 16:38:44,  0,+  14.6,+  15.1,+  14.9,+  15.6,+  24.5,+  21.8,BURNOUT,+  25.6,LLLLLLLLLL,LLLL
        30,2021/03/30 16:38:44,500,+  14.6,+  15.1,+  15.0,+  15.5,+  25.0,+  22.2,BURNOUT,+  26.1,LLLLLLLLLL,LLLL
        31,2021/03/30 16:38:45,  0,+  14.6,+  15.0,+  14.9,+  15.6,+  25.6,+  22.9,BURNOUT,+  26.5,LLLLLLLLLL,LLLL
        32,2021/03/30 16:38:45,500,+  14.6,+  15.0,+  14.9,+  15.5,+  26.1,+  23.3,BURNOUT,+  26.8,LLLLLLLLLL,LLLL
        33,2021/03/30 16:38:46,  0,+  14.6,+  14.9,+  14.8,+  15.6,+  26.5,+  23.9,BURNOUT,+  27.3,LLLLLLLLLL,LLLL
        34,2021/03/30 16:38:46,500,+  14.6,+  15.1,+  14.9,+  15.6,+  27.0,+  24.4,BURNOUT,+  27.8,LLLLLLLLLL,LLLL
        35,2021/03/30 16:38:47,  0,+  14.5,+  15.0,+  14.8,+  15.6,+  27.5,+  25.1,BURNOUT,+  28.2,LLLLLLLLLL,LLLL
        36,2021/03/30 16:38:47,500,+  14.6,+  14.9,+  14.8,+  15.6,+  28.0,+  25.4,BURNOUT,+  28.5,LLLLLLLLLL,LLLL
        37,2021/03/30 16:38:48,  0,+  14.5,+  15.0,+  14.8,+  15.5,+  28.5,+  25.8,BURNOUT,+  29.0,LLLLLLLLLL,LLLL
        38,2021/03/30 16:38:48,500,+  14.5,+  15.1,+  14.8,+  15.6,+  28.8,+  26.4,BURNOUT,+  29.3,LLLLLLLLLL,LLLL
        39,2021/03/30 16:38:49,  0,+  14.5,+  14.9,+  14.7,+  15.3,+  29.2,+  26.5,BURNOUT,+  29.7,LLLLLLLLLL,LLLL
        40,2021/03/30 16:38:49,500,+  14.5,+  14.9,+  14.8,+  15.5,+  29.5,+  27.2,BURNOUT,+  29.5,LLLLLLLLLL,LLLL
        41,2021/03/30 16:38:50,  0,+  14.5,+  14.9,+  15.1,+  15.4,+  30.0,+  27.4,BURNOUT,+  30.3,LLLLLLLLLL,LLLL
        42,2021/03/30 16:38:50,500,+  14.5,+  14.7,+  14.8,+  15.4,+  30.3,+  27.8,BURNOUT,+  30.4,LLLLLLLLLL,LLLL
        43,2021/03/30 16:38:51,  0,+  14.6,+  15.6,+  14.9,+  15.7,+  30.7,+  28.3,BURNOUT,+  31.1,LLLLLLLLLL,LLLL
        44,2021/03/30 16:38:51,500,+  14.5,+  14.9,+  15.0,+  15.4,+  31.2,+  28.5,BURNOUT,+  31.1,LLLLLLLLLL,LLLL
        45,2021/03/30 16:38:52,  0,+  14.6,+  14.8,+  14.8,+  15.4,+  31.5,+  28.7,BURNOUT,+  31.1,LLLLLLLLLL,LLLL
        46,2021/03/30 16:38:52,500,+  14.2,+  15.7,+  14.7,+  15.7,+  31.9,+  29.3,BURNOUT,+  31.9,LLLLLLLLLL,LLLL
        47,2021/03/30 16:38:53,  0,+  14.5,+  14.9,+  14.6,+  15.6,+  32.3,+  29.6,BURNOUT,+  32.3,LLLLLLLLLL,LLLL
        48,2021/03/30 16:38:53,500,+  14.6,+  14.9,+  14.5,+  15.3,+  32.5,+  30.0,BURNOUT,+  31.9,LLLLLLLLLL,LLLL
        49,2021/03/30 16:38:54,  0,+  14.6,+  15.1,+  14.8,+  15.3,+  32.8,+  30.0,BURNOUT,+  32.7,LLLLLLLLLL,LLLL
        50,2021/03/30 16:38:54,500,+  14.5,+  15.2,+  14.7,+  15.4,+  33.2,+  30.5,BURNOUT,+  32.8,LLLLLLLLLL,LLLL
        51,2021/03/30 16:38:55,  0,+  14.5,+  14.6,+  15.2,+  15.2,+  33.5,+  30.9,BURNOUT,+  33.3,LLLLLLLLLL,LLLL
