Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.51  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Off,Off
TempUnit,C
Sampling interval,500ms
Total data points,9950      
Trigger,0         
Start time,2021-03-31,13:35:33
End time,2021-03-31,14:58:28
Trigger time,2021-03-31,13:35:33
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],28,5,6,0
CH2," CH 2","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],9,22,8,0
CH4," CH 4","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],21,0,21,0
CH5," CH 5","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],28,16,2,0
CH6," CH 6","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],5,23,30,0
CH7," CH 7","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],30,23,1,0
CH8," CH 8","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],28,0,17,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm1-10,AlarmOut
NO.,Time,ms,"degC","degC","degC","degC","degC","degC","degC","degC","A1234567890","AO1234"
         1,2021/03/31 13:35:33,  0,+  22.8,+  22.5,+  22.9,+  23.1,+  22.9,+  22.7,+  23.1,+  22.2,LLLLLLLLLL,LLLL
         2,2021/03/31 13:35:33,500,+  22.8,+  22.5,+  22.9,+  23.1,+  22.8,+  22.6,+  23.1,+  22.2,LLLLLLLLLL,LLLL
         3,2021/03/31 13:35:34,  0,+  22.8,+  22.5,+  22.8,+  23.1,+  22.9,+  22.6,+  23.1,+  22.1,LLLLLLLLLL,LLLL
         4,2021/03/31 13:35:34,500,+  22.8,+  22.5,+  22.8,+  23.1,+  22.9,+  22.6,+  23.1,+  22.1,LLLLLLLLLL,LLLL
         5,2021/03/31 13:35:35,  0,+  22.8,+  22.5,+  22.8,+  23.1,+  22.8,+  22.6,+  23.1,+  22.1,LLLLLLLLLL,LLLL
         6,2021/03/31 13:35:35,500,+  22.7,+  22.5,+  22.9,+  23.1,+  22.8,+  22.6,+  23.1,+  22.2,LLLLLLLLLL,LLLL
         7,2021/03/31 13:35:36,  0,+  22.7,+  22.5,+  22.8,+  23.1,+  22.8,+  22.6,+  23.1,+  22.1,LLLLLLLLLL,LLLL
         8,2021/03/31 13:35:36,500,+  22.7,+  22.4,+  22.8,+  23.0,+  22.8,+  22.6,+  23.1,+  22.1,LLLLLLLLLL,LLLL
         9,2021/03/31 13:35:37,  0,+  22.7,+  22.5,+  22.8,+  23.1,+  22.8,+  22.6,+  23.1,+  22.2,LLLLLLLLLL,LLLL
        10,2021/03/31 13:35:37,500,+  22.7,+  22.5,+  22.8,+  23.0,+  22.8,+  22.6,+  23.1,+  22.1,LLLLLLLLLL,LLLL
        11,2021/03/31 13:35:38,  0,+  22.8,+  22.5,+  22.9,+  23.1,+  22.8,+  22.6,+  23.1,+  22.2,LLLLLLLLLL,LLLL
        12,2021/03/31 13:35:38,500,+  22.7,+  22.4,+  22.8,+  23.1,+  22.8,+  22.6,+  23.1,+  22.2,LLLLLLLLLL,LLLL
        13,2021/03/31 13:35:39,  0,+  22.7,+  22.5,+  22.8,+  23.1,+  23.1,+  23.0,+  23.0,+  24.0,LLLLLLLLLL,LLLL
        14,2021/03/31 13:35:39,500,+  23.0,+  22.2,+  24.1,+  23.5,+  23.1,+  22.6,+  23.6,+  25.2,LLLLLLLLLL,LLLL
        15,2021/03/31 13:35:40,  0,+  22.8,+  22.1,+  22.8,+  23.5,+  23.4,+  22.6,+  24.1,+  26.2,LLLLLLLLLL,LLLL
        16,2021/03/31 13:35:40,500,+  22.8,+  22.1,+  22.8,+  23.4,+  23.6,+  22.5,+  24.6,+  27.4,LLLLLLLLLL,LLLL
        17,2021/03/31 13:35:41,  0,+  22.5,+  22.0,+  22.6,+  23.2,+  23.8,+  22.6,+  25.1,+  28.3,LLLLLLLLLL,LLLL
        18,2021/03/31 13:35:41,500,+  22.5,+  22.0,+  22.6,+  23.1,+  24.1,+  22.7,+  25.3,+  28.1,LLLLLLLLLL,LLLL
        19,2021/03/31 13:35:42,  0,+  22.5,+  21.7,+  22.5,+  23.3,+  24.4,+  22.8,+  26.1,+  30.0,LLLLLLLLLL,LLLL
        20,2021/03/31 13:35:42,500,+  22.6,+  22.0,+  22.6,+  23.4,+  24.9,+  23.0,+  26.4,+  30.5,LLLLLLLLLL,LLLL
        21,2021/03/31 13:35:43,  0,+  22.5,+  21.9,+  22.5,+  23.3,+  25.2,+  23.1,+  26.8,+  31.4,LLLLLLLLLL,LLLL
        22,2021/03/31 13:35:43,500,+  22.5,+  22.3,+  22.4,+  23.4,+  25.4,+  23.3,+  27.2,+  32.6,LLLLLLLLLL,LLLL
        23,2021/03/31 13:35:44,  0,+  22.6,+  22.1,+  22.5,+  23.1,+  26.0,+  23.4,+  27.5,+  32.6,LLLLLLLLLL,LLLL
        24,2021/03/31 13:35:44,500,+  22.5,+  21.9,+  22.5,+  23.2,+  26.3,+  23.6,+  27.9,+  33.1,LLLLLLLLLL,LLLL
