Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.51  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Off,Off
TempUnit,C
Sampling interval,500ms
Total data points,6773      
Trigger,0         
Start time,2021-04-23,16:30:34
End time,2021-04-23,17:27:01
Trigger time,2021-04-23,16:30:34
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],28,5,6,0
CH2," CH 2","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],9,22,8,0
CH4," CH 4","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],21,0,21,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,Alarm1-10,AlarmOut
NO.,Time,ms,"degC","degC","degC","degC","A1234567890","AO1234"
         1,2021/04/23 16:30:34,  0,+  20.3,+  18.1,+  18.7,+  18.5,LLLLLLLLLL,LLLL
         2,2021/04/23 16:30:34,500,+  20.4,+  18.0,+  18.7,+  18.5,LLLLLLLLLL,LLLL
         3,2021/04/23 16:30:35,  0,+  20.3,+  18.0,+  18.7,+  18.5,LLLLLLLLLL,LLLL
         4,2021/04/23 16:30:35,500,+  20.3,+  18.1,+  18.7,+  18.5,LLLLLLLLLL,LLLL
         5,2021/04/23 16:30:36,  0,+  20.3,+  18.0,+  18.7,+  18.5,LLLLLLLLLL,LLLL
         6,2021/04/23 16:30:36,500,+  20.3,+  18.1,+  18.7,+  18.5,LLLLLLLLLL,LLLL
         7,2021/04/23 16:30:37,  0,+  20.3,+  18.1,+  18.7,+  18.5,LLLLLLLLLL,LLLL
         8,2021/04/23 16:30:37,500,+  20.3,+  18.1,+  18.7,+  18.5,LLLLLLLLLL,LLLL
         9,2021/04/23 16:30:38,  0,+  20.3,+  18.0,+  18.7,+  18.5,LLLLLLLLLL,LLLL
        10,2021/04/23 16:30:38,500,+  20.3,+  18.1,+  18.7,+  18.5,LLLLLLLLLL,LLLL
        11,2021/04/23 16:30:39,  0,+  20.3,+  18.2,+  18.7,+  18.5,LLLLLLLLLL,LLLL
        12,2021/04/23 16:30:39,500,+  20.3,+  18.2,+  18.7,+  18.5,LLLLLLLLLL,LLLL
        13,2021/04/23 16:30:40,  0,+  20.3,+  18.2,+  18.7,+  18.5,LLLLLLLLLL,LLLL
        14,2021/04/23 16:30:40,500,+  20.3,+  18.1,+  18.7,+  18.5,LLLLLLLLLL,LLLL
        15,2021/04/23 16:30:41,  0,+  20.3,+  18.1,+  18.7,+  18.5,LLLLLLLLLL,LLLL
        16,2021/04/23 16:30:41,500,+  20.3,+  18.2,+  18.7,+  18.5,LLLLLLLLLL,LLLL
        17,2021/04/23 16:30:42,  0,+  20.2,+  18.1,+  18.7,+  18.5,LLLLLLLLLL,LLLL
        18,2021/04/23 16:30:42,500,+  20.2,+  18.1,+  18.7,+  18.5,LLLLLLLLLL,LLLL
        19,2021/04/23 16:30:43,  0,+  20.2,+  18.1,+  18.7,+  18.5,LLLLLLLLLL,LLLL
        20,2021/04/23 16:30:43,500,+  20.2,+  18.1,+  18.7,+  18.4,LLLLLLLLLL,LLLL
        21,2021/04/23 16:30:44,  0,+  21.5,+  18.2,+  18.7,+  18.5,LLLLLLLLLL,LLLL
        22,2021/04/23 16:30:44,500,+  23.9,+  18.0,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        23,2021/04/23 16:30:45,  0,+  26.2,+  17.9,+  18.6,+  18.5,LLLLLLLLLL,LLLL
        24,2021/04/23 16:30:45,500,+  28.0,+  17.9,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        25,2021/04/23 16:30:46,  0,+  29.7,+  17.9,+  18.6,+  18.3,LLLLLLLLLL,LLLL
        26,2021/04/23 16:30:46,500,+  31.1,+  17.9,+  18.5,+  18.3,LLLLLLLLLL,LLLL
        27,2021/04/23 16:30:47,  0,+  32.7,+  17.9,+  18.5,+  18.3,LLLLLLLLLL,LLLL
        28,2021/04/23 16:30:47,500,+  34.2,+  17.8,+  18.5,+  18.4,LLLLLLLLLL,LLLL
        29,2021/04/23 16:30:48,  0,+  35.4,+  17.9,+  18.5,+  18.3,LLLLLLLLLL,LLLL
        30,2021/04/23 16:30:48,500,+  36.8,+  17.9,+  18.5,+  18.4,LLLLLLLLLL,LLLL
        31,2021/04/23 16:30:49,  0,+  38.2,+  17.8,+  18.5,+  18.4,LLLLLLLLLL,LLLL
        32,2021/04/23 16:30:49,500,+  39.3,+  17.8,+  18.5,+  18.3,LLLLLLLLLL,LLLL
        33,2021/04/23 16:30:50,  0,+  40.6,+  17.9,+  18.5,+  18.3,LLLLLLLLLL,LLLL
        34,2021/04/23 16:30:50,500,+  41.8,+  18.0,+  18.5,+  18.3,LLLLLLLLLL,LLLL
        35,2021/04/23 16:30:51,  0,+  42.9,+  17.9,+  18.5,+  18.3,LLLLLLLLLL,LLLL
        36,2021/04/23 16:30:51,500,+  44.0,+  18.0,+  18.7,+  18.4,LLLLLLLLLL,LLLL
        37,2021/04/23 16:30:52,  0,+  45.1,+  18.0,+  18.5,+  18.4,LLLLLLLLLL,LLLL
        38,2021/04/23 16:30:52,500,+  46.3,+  18.0,+  18.5,+  18.3,LLLLLLLLLL,LLLL
        39,2021/04/23 16:30:53,  0,+  47.2,+  18.0,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        40,2021/04/23 16:30:53,500,+  48.2,+  18.1,+  18.5,+  18.3,LLLLLLLLLL,LLLL
        41,2021/04/23 16:30:54,  0,+  49.2,+  18.0,+  18.6,+  18.3,LLLLLLLLLL,LLLL
        42,2021/04/23 16:30:54,500,+  50.1,+  18.0,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        43,2021/04/23 16:30:55,  0,+  51.1,+  17.9,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        44,2021/04/23 16:30:55,500,+  51.9,+  18.0,+  18.5,+  18.3,LLLLLLLLLL,LLLL
        45,2021/04/23 16:30:56,  0,+  52.8,+  18.2,+  18.6,+  18.3,LLLLLLLLLL,LLLL
        46,2021/04/23 16:30:56,500,+  53.7,+  18.2,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        47,2021/04/23 16:30:57,  0,+  54.5,+  18.2,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        48,2021/04/23 16:30:57,500,+  55.3,+  18.2,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        49,2021/04/23 16:30:58,  0,+  76.4,+  18.1,+  18.5,+  18.4,LLLLLLLLLL,LLLL
        50,2021/04/23 16:30:58,500,+  54.7,+  18.1,+  18.5,+  18.2,LLLLLLLLLL,LLLL
        51,2021/04/23 16:30:59,  0,+  53.3,+  18.1,+  18.5,+  18.4,LLLLLLLLLL,LLLL
        52,2021/04/23 16:30:59,500,+  52.4,+  18.2,+  18.5,+  18.4,LLLLLLLLLL,LLLL
        53,2021/04/23 16:31:00,  0,+  51.6,+  18.2,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        54,2021/04/23 16:31:00,500,+  50.8,+  18.2,+  18.7,+  18.4,LLLLLLLLLL,LLLL
        55,2021/04/23 16:31:01,  0,+  50.1,+  18.2,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        56,2021/04/23 16:31:01,500,+  49.4,+  18.2,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        57,2021/04/23 16:31:02,  0,+  48.8,+  18.2,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        58,2021/04/23 16:31:02,500,+  48.5,+  18.2,+  18.5,+  18.4,LLLLLLLLLL,LLLL
        59,2021/04/23 16:31:03,  0,+  50.4,+  18.2,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        60,2021/04/23 16:31:03,500,+  51.6,+  18.2,+  18.5,+  18.3,LLLLLLLLLL,LLLL
        61,2021/04/23 16:31:04,  0,+  52.7,+  18.2,+  18.5,+  18.3,LLLLLLLLLL,LLLL
        62,2021/04/23 16:31:04,500,+  53.6,+  18.1,+  18.4,+  18.2,LLLLLLLLLL,LLLL
        63,2021/04/23 16:31:05,  0,+  54.4,+  18.2,+  18.4,+  18.2,LLLLLLLLLL,LLLL
        64,2021/04/23 16:31:05,500,+  54.7,+  18.1,+  18.5,+  18.2,LLLLLLLLLL,LLLL
        65,2021/04/23 16:31:06,  0,+  53.2,+  18.2,+  18.5,+  18.4,LLLLLLLLLL,LLLL
        66,2021/04/23 16:31:06,500,+  52.1,+  18.2,+  18.5,+  18.3,LLLLLLLLLL,LLLL
        67,2021/04/23 16:31:07,  0,+  51.3,+  18.3,+  18.5,+  18.4,LLLLLLLLLL,LLLL
        68,2021/04/23 16:31:07,500,+  50.5,+  18.4,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        69,2021/04/23 16:31:08,  0,+  49.9,+  18.3,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        70,2021/04/23 16:31:08,500,+  49.3,+  18.3,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        71,2021/04/23 16:31:09,  0,+  48.7,+  18.3,+  18.7,+  18.4,LLLLLLLLLL,LLLL
        72,2021/04/23 16:31:09,500,+  50.4,+  18.3,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        73,2021/04/23 16:31:10,  0,+  51.9,+  18.5,+  18.6,+  18.4,LLLLLLLLLL,LLLL
        74,2021/04/23 16:31:10,500,+  53.1,+  18.3,+  18.5,+  18.3,LLLLLLLLLL,LLLL
        75,2021/04/23 16:31:11,  0,+  54.0,+  18.3,+  18.5,+  18.4,LLLLLLLLLL,LLLL
        76,2021/04/23 16:31:11,500,+  55.0,+  18.1,+  18.5,+  18.2,LLLLLLLLLL,LLLL
        77,2021/04/23 16:31:12,  0,+  54.7,+  18.2,+  18.5,+  18.4,LLLLLLLLLL,LLLL
        78,2021/04/23 16:31:12,500,+  53.3,+  18.2,+  18.5,+  18.3,LLLLLLLLLL,LLLL
